ID Chamado,TÍTULO,CATEGORIA COMPLETA,,,
5443,,"Estrutura Predial > Telhados, calhas, rufos, etc.",,,
5445,Substituição de placas de forro mineral,Estrutura Predial > Forro,,,
5450,Solicito a instalação/criação de um ponto de tomada para ligar impress,Outros > Erro de chamado,,,
5453,Adequação de paraede de gesso do Pórtico.,Projetos e Reformas > Reforma,,,
5472,Ar condicionado fraco,Climatização > Ar condicionado,,,
5481,Problema com ar condicionado,Climatização > Ar condicionado,,,
5489,manutenção em ar condicionado,Climatização > Ar condicionado,,,
5500,Colocar na rede,Outros > Erro de chamado,,,
5515,Solicito uma vistoria mais detalhada para manutenção do Ar condicionad,Climatização > Ar condicionado,,,
5520,Porta de sala sem chave,"Estrutura Predial > Esquadrias, porta, portão e janelas",,,
5539,Ar condicionado não funciona bem...,Climatização > Ar condicionado,,,
5546,Reconfiguração de layput da sala do Pró-Reitor,Outros > Erro de chamado,,,
5553,Ar Condicionado,Climatização > Ar condicionado,,,
5555,Mudanças estruturais na Progeac,Projetos e Reformas > Reforma,,,
5556,Pintura de paredes na Progeac,Estrutura Predial > Pintura,,,
5564,Problemas no ar condicionado da sala do gabinete. Ao lado da sec execu,Climatização > Ar condicionado,,,
5570,"A maçaneta da sala 01 está quebrada, impossibilitando o fechamento da","Estrutura Predial > Esquadrias, porta, portão e janelas",,,
5576,Solicitação de serviços EBI,Outros > Outros,,,
5577,Ar condicionado do Auditório apresenta ruído,Climatização > Ar condicionado,,,
5604,ar condicionado com defeito na sala da Dirplan.  grato,Climatização > Ar condicionado,,,
5608,colocação de cadeira rede,Estrutura Predial > Alvenaria / Pisos / Estrutura,,,
5612,Reiteração de Chamados antigos não atendidos,Projetos e Reformas > Reforma,,,
5616,Solicito instalar um conector nas câmeras de vigilância eletrônica p,Estrutura Predial > Alvenaria / Pisos / Estrutura,,,
5637,Instalação Elétrica de 3 ar condicionados,Climatização > Ar condicionado,,,
5652,Tomada de energia,Elétrica > Instalações elétricas,,,
5655,Ponto de rede Biblioteca CJA,Estrutura Predial > Alvenaria / Pisos / Estrutura,,,
5684,Adequação do Herbário,Projetos e Reformas > Reforma,,,
5707,Solicito manutenção no Centro de Formação na CEPLAC para sanar um vaza,Manutenção Preventiva > Esgoto,,,
5714,"Prezados,  Identificamos hoje o desaparecimento de 02 lâmpadas do Vest",Elétrica > Iluminação,,,
5715,"Prezados, Solicito a substituição do forro do corredor entre Secretari","Estrutura Predial > Telhados, calhas, rufos, etc.",,,
5722,Estamos com problemas nos ventiladores da sala 04 Algumas lâmpadas do,Elétrica > Iluminação,,,
